"","Short","Long"
"1","4DDA","4 Dimentional Data Assimilation"
"2","A/D","Analog to Digital"
"3","A/D","Ascending/Descending"
"4","AADN","Americas ALOS Data Node"
"5","AAN","Asian AWS Network"
"6","AAN","Asian AMeDAS Network"
"7","ACRES","Australian Centre for Remote Sensing"
"8","ACRIM","Active Cavity Radiometer Irradiance Monitor"
"9","ACS","Attitude Control Subsystem"
"10","Active sensor","Active sensor"
"11","ADCS","Attitude Determination and Control Subsystem"
"12","ADDS","ALOS Data Distribution System"
"13","ADEN","ALOS Data European Node"
"14","ADEOS","Advanced Earth Observing Satellite"
"15","ADEOS-II","Advanced Earth Observing Satellite-II"
"16","ADEOS-III","Advanced Earth Observing Satellite-III"
"17","ADIS","ALOS Data node Interface System"
"18","ADN","ALOS Data Node"
"19","ADS","Advertisement Subsystem"
"20","ADS","Angular Displacement Sensor"
"21","Aerosol","Aerosol"
"22","AFC","Automatic Frequency Control"
"23","AGC","Automatic Gain Control"
"24","AIM","AMI Image"
"25","AIRS","Atmospheric Infrared Sounder"
"26","AIT","Asian Institute of Technology"
"27","Albedo","Albedo"
"28","ALOS","Advanced Land Observing Satellite"
"29","ALT","Altimeter"
"30","AM","Amplitude Modulation"
"31","AMEX","Aeronautical Maritime Experimental Transponder"
"32","AMI","Active Microwave Instrument"
"33","AMR","Airborne Microwave Radiometer"
"34","AMS","Attitude Measurement Sensor"
"35","AMSR","Advanced Microwave Scanning Radiometer"
"36","AMSR-E","Advanced Microwave Scanning Radiometer-EOS"
"37","AMSU","Advanced Microwave Sounding Unit"
"38","ANT","Antenna"
"39","AO","Announcement of Opportunity"
"40","AOCS","Attitude and Orbit Control Subsystem"
"41","AOS","Acquisition of Signal"
"42","AP","precipitation"
"43","APD","Antenna Pointing Data"
"44","APN","Asian Pacific Network"
"45","Aqua","Earth Observing System PM1(EOS-PM1)"
"46","ARC","Active Radar Calibrator"
"47","ARGOS","ARGOS System"
"48","ARTEMIS","Advanced Relay and Technology Mission"
"49","ASAR","Advanced Synthetic Aperture Radar"
"50","ASF","Alaska SAR Facility"
"51","ASMS","Alice Springs MOS Receiving Station"
"52","ASTER","Advanced Spaceborne Thermal Emission and Reflection radiometer"
"53","ATM","Asynchronous Transfer Mode"
"54","ATSR/IR(ATI)","Along Track Scanning Radiometer/infrared"
"55","ATSR/M(ATM)","ATSR/Microwave Sounder ATSR"
"56","Attitude","Attitude"
"57","AUIG","ALOS User Interface Gateway"
"58","AUSLIG","Ausralian Survaying & Land Information Group"
"59","AVHRR","Advanced Very High Resolution Radiometer"
"60","AVIRIS","Airborne Visible and Infrared Imaging Spectrometer"
"61","AVNIR","Advanced Visible and Near-Infrared Radiometer"
"62","AVNIR-2","Advances Visible and Near Infrared Radiometer type 2"
"63","AVNIR-II","Advanced Visible and Near Infrared Radiometer II"
"64","AVR","Automatic Voltage Regulator"
"65","AWA","AMI Wave"
"66","AWI","AMI Wind"
"67","AWS","Automated Weather Station"
"68","Azimuth","Azimuth"
"69","B/H","Base to Height ratio"
"70","B/S","Byte per Second"
"71","BBS","Bulletin Board System"
"72","BCD","Binary Coded Decimal"
"73","BDS","Browse data Distribution Subsystem"
"74","BER","Bit Error Rate"
"76","BIf","Bi-Phase"
"77","BIL","Band Interleaved by Line"
"78","Biomass","Biomass"
"79","BIP2","Band Interleaved by 2 Pixels"
"80","Bird's eye view image","Bird's eye view image"
"81","BKMS","Bangkok MOS Receiving Station"
"82","BL","Bi-Linear"
"83","BPI","Byte per Inch"
"84","bpi","bit per inch"
"85","bps","bit per second"
"86","BPSK","Biphase Phase Shift Keying"
"87","BS","Broadcasting Satellite"
"88","BSQ","Band Sequential"
"89","C/N","Carrier to Noise Ratio"
"90","C/O","Check Out"
"91","CADS","Catalogue Data Distribution System"
"92","CAL","Calibration"
"93","CAP","For Centre d'archivage et de prétraitement"
"94","CAPPI","Constant Altitude Plan Position Indicator"
"95","CAS","Chinese Academy of Science"
